room_number,datapoints
e001,138808
e004,69099
e305,65243
e301,63504
e201,63407
e304,61933
e306,59256
e104,56292
e302,55481
e113,54120
e103,53658
e213,49415
e101,49413
e311,47736
e303,45959
e010,45458
e003,44986
e002,43551
e102,41231
e208,38161
e106,35927
e206,32628
e109,31626
e203,30432
eu07,1745
eu02,1731
eu08,1715
eu09,1696
